Idade,Frequência de uso de jogos digitais,Importância na aprendizagem de algum idioma,"
Jogos digitais ajudam na aprendizagem de idiomas",Uso de jogos digitais por professores em aulas de idiomas,Jogos digitais tornam aprendizado de idiomas mais atrativo,Frequência de uso de idiomas estrangeiros em jogos digitais
22,4,4,5,5,5,3
22,5,5,5,3,5,5
21,2,5,5,3,5,4
20,4,4,5,5,5,4
22,3,5,5,4,5,5
24,3,4,5,5,5,5
27,5,5,5,5,5,5
20,2,1,4,3,4,3
24,5,5,5,5,5,5
20,3,3,4,4,4,3
20,2,2,4,4,4,5
20,2,3,4,4,4,3
35,3,3,4,4,4,3
20,4,4,4,3,4,4
22,5,5,5,5,5,5
23,1,1,4,4,4,1
20,3,2,4,4,4,5
23,5,5,5,3,4,5
24,3,3,4,4,3,4
20,3,1,4,4,4,3
24,5,5,4,3,4,3
22,3,4,5,4,5,3
21,4,5,5,4,5,5
21,4,5,5,4,5,5
21,2,3,4,4,4,4
22,4,1,5,4,5,4
21,2,1,5,5,5,2
21,5,5,5,2,5,5
24,3,2,4,2,5,5
21,2,3,5,5,5,5
24,3,2,4,3,4,4
20,1,2,4,3,4,3
22,4,4,4,4,4,5
26,3,1,5,3,5,3
19,3,4,5,5,5,5
